"date.time","strain","treat","date","population","population.se"
2022-06-24 12:51:03,"2383","C",2022-06-24,83702.860141472,2317.35472050681
2022-06-25 15:07:28,"2383","C",2022-06-25,76754.5236739184,2353.92201889739
2022-06-26 11:49:26,"2383","C",2022-06-26,90163.5321365565,1610.93267433984
2022-06-27 12:53:23,"2383","C",2022-06-27,123373.705050873,15939.5911863855
2022-06-18 13:20:40,"2383","T",2022-06-18,2410.2764080903,114.221835323569
2022-06-19 17:26:58,"2383","T",2022-06-19,8643.23627888543,457.062874521804
2022-06-20 12:21:41,"2383","T",2022-06-20,14486.9278308067,623.244317210628
2022-06-21 12:26:23,"2383","T",2022-06-21,29951.2760062233,463.585648394126
2022-06-22 13:35:38,"2383","T",2022-06-22,65819.1437023169,3289.99318480424
2022-06-23 14:13:28,"2383","T",2022-06-23,94952.8363351878,6425.37854761468
2022-06-24 12:57:48,"2383","T",2022-06-24,134335.945079968,4934.76656469806
2022-06-25 15:14:13,"2383","T",2022-06-25,131698.306092165,6060.57878959093
2022-06-26 11:56:29,"2383","T",2022-06-26,143229.701971064,5331.87368569923
2022-06-27 13:01:11,"2383","T",2022-06-27,138159.136018632,3330.25774569989
2022-06-18 13:12:29,"2434","A",2022-06-18,2164.50072891292,35.0661283032443
2022-06-19 16:26:50,"2434","A",2022-06-19,2274.91078836023,34.6378507310604
2022-06-20 11:35:06,"2434","A",2022-06-20,2087.09730255612,34.3313860490072
2022-06-21 11:44:02,"2434","A",2022-06-21,1965.32632595087,73.1622304505621
2022-06-22 11:39:19,"2434","A",2022-06-22,1881.0702926769,87.0467473385848
2022-06-23 12:37:22,"2434","A",2022-06-23,1975.03614360752,138.177016034891
2022-06-24 12:03:30,"2434","A",2022-06-24,1937.87924980899,68.9903031482144
2022-06-25 14:25:57,"2434","A",2022-06-25,1935.88130449162,52.0384148313263
2022-06-26 11:06:19,"2434","A",2022-06-26,2008.17353213802,68.0312740628948
2022-06-27 11:44:43,"2434","A",2022-06-27,1971.59832403381,112.012075317252
2022-06-18 13:29:22,"2434","AT",2022-06-18,2396.85421338077,40.362322732235
2022-06-19 16:43:01,"2434","AT",2022-06-19,2145.89520507158,7.72904781266046
2022-06-20 11:43:18,"2434","AT",2022-06-20,1946.72312940433,80.4268252920867
2022-06-21 11:59:48,"2434","AT",2022-06-21,1865.19799995003,75.2966173119361
2022-06-22 11:47:29,"2434","AT",2022-06-22,2105.4454007629,32.0925500044544
2022-06-23 12:44:27,"2434","AT",2022-06-23,2094.30942412469,72.2064477671229
2022-06-24 12:10:42,"2434","AT",2022-06-24,2106.3177493414,78.4329760535813
2022-06-25 14:32:06,"2434","AT",2022-06-25,2118.03375992354,97.1863654773586
2022-06-26 11:11:49,"2434","AT",2022-06-26,2130.66584194574,49.7989817633743
2022-06-27 11:50:22,"2434","AT",2022-06-27,2022.88195258715,52.0754075482612
2022-06-18 13:04:17,"2434","C",2022-06-18,2268.14484587166,59.4859127067008
2022-06-19 17:13:00,"2434","C",2022-06-19,8806.57521943327,130.383621104885
2022-06-20 12:11:38,"2434","C",2022-06-20,11304.8636950236,201.991606152736
2022-06-21 12:17:49,"2434","C",2022-06-21,17885.38435809,803.627800829889
2022-06-22 12:13:41,"2434","C",2022-06-22,28955.3936931217,977.156712754071
2022-06-23 14:07:10,"2434","C",2022-06-23,66447.0966198727,3498.04895791849
2022-06-24 12:52:16,"2434","C",2022-06-24,86169.2011597433,981.750922048981
2022-06-25 15:08:41,"2434","C",2022-06-25,81302.6134200578,4632.91237955165
2022-06-26 11:50:41,"2434","C",2022-06-26,85194.5283742829,2592.13862055844
2022-06-27 12:54:46,"2434","C",2022-06-27,90866.7288822519,3031.58161100826
2022-06-18 13:21:19,"2434","T",2022-06-18,2382.31663450779,77.5301691909313
2022-06-19 17:28:09,"2434","T",2022-06-19,9625.42725531722,424.788918710545
2022-06-20 12:22:31,"2434","T",2022-06-20,14266.2020594899,628.25866686244
2022-06-21 12:27:04,"2434","T",2022-06-21,22796.0504711025,958.196169750212
2022-06-22 13:11:58,"2434","T",2022-06-22,45550.8438470054,7928.4736921624
2022-06-23 14:14:47,"2434","T",2022-06-23,69099.7509888441,2344.67022070904
2022-06-24 12:58:57,"2434","T",2022-06-24,99337.691887549,3753.19946632198
2022-06-25 15:15:27,"2434","T",2022-06-25,93008.7027660191,2979.22111775921
2022-06-26 11:58:12,"2434","T",2022-06-26,91384.4786058189,6471.01182888145
2022-06-18 13:13:08,"2524","A",2022-06-18,2058.90883890336,64.1712431303923
2022-06-19 16:27:29,"2524","A",2022-06-19,1936.68658016556,45.0007077633306
2022-06-20 11:35:46,"2524","A",2022-06-20,1721.52010976521,28.0582010478537
2022-06-21 11:44:43,"2524","A",2022-06-21,1649.19697890096,26.1608284263493
2022-06-22 11:39:59,"2524","A",2022-06-22,1588.78635369202,41.3598825595075
2022-06-23 12:38:04,"2524","A",2022-06-23,1417.4926957116,115.627339326512
2022-06-24 12:04:14,"2524","A",2022-06-24,1168.3512251172,45.7181077313403
2022-06-25 14:26:38,"2524","A",2022-06-25,1284.72090808818,67.4098813218806
2022-06-26 11:06:59,"2524","A",2022-06-26,1313.76876696394,57.6110721361209
2022-06-27 11:45:25,"2524","A",2022-06-27,1109.30307751526,80.6818262593736
2022-06-18 13:30:01,"2524","AT",2022-06-18,2142.24503300511,10.0528284071767
2022-06-19 16:43:40,"2524","AT",2022-06-19,1865.54458660188,44.1022572856694
2022-06-20 11:43:58,"2524","AT",2022-06-20,1700.11682003485,10.6754218246447
2022-06-21 12:00:29,"2524","AT",2022-06-21,1541.06157129501,23.2766715819859
2022-06-22 11:48:12,"2524","AT",2022-06-22,1218.96534246081,47.7113082304233
2022-06-23 12:45:09,"2524","AT",2022-06-23,1103.41311594437,59.0578630273992
2022-06-24 12:11:26,"2524","AT",2022-06-24,980.307265032678,49.1422250181542
2022-06-25 14:33:00,"2524","AT",2022-06-25,816.024322885404,40.3795271347044
2022-06-26 11:12:50,"2524","AT",2022-06-26,705.134757805378,88.6266449471661
2022-06-27 11:51:26,"2524","AT",2022-06-27,580.568815552138,41.1722100741743
2022-06-18 13:04:56,"2524","C",2022-06-18,2249.36690070263,72.3711351436215
2022-06-19 17:14:30,"2524","C",2022-06-19,6494.84214632612,382.715320101243
2022-06-20 12:12:44,"2524","C",2022-06-20,8663.89997535247,181.764976892714
2022-06-21 12:18:46,"2524","C",2022-06-21,11829.4089922079,178.444822151957
2022-06-22 12:14:32,"2524","C",2022-06-22,14020.291991082,464.696532443461
2022-06-23 12:59:02,"2524","C",2022-06-23,13915.3877067952,157.290499084243
2022-06-24 12:26:22,"2524","C",2022-06-24,13539.7103122311,148.155448606399
2022-06-25 14:42:49,"2524","C",2022-06-25,12206.7951379695,427.395650763378
2022-06-26 11:22:38,"2524","C",2022-06-26,11497.8792244022,481.170835105361
2022-06-27 12:23:51,"2524","C",2022-06-27,9113.77175835012,540.912538946999
2022-06-18 13:21:55,"2524","T",2022-06-18,2951.86452168141,24.7036815523979
2022-06-19 17:29:19,"2524","T",2022-06-19,11063.0305811235,261.719662106368
2022-06-20 12:23:19,"2524","T",2022-06-20,15495.3871578272,426.148114004451
2022-06-21 12:27:50,"2524","T",2022-06-21,18099.3466791,945.044593756639
2022-06-22 12:22:56,"2524","T",2022-06-22,22057.7203219845,1200.26802145431
2022-06-23 13:05:08,"2524","T",2022-06-23,22562.5368652729,1389.968545864
2022-06-24 12:35:37,"2524","T",2022-06-24,20053.6061435652,1099.39649520632
2022-06-25 14:51:56,"2524","T",2022-06-25,17131.6063687912,398.428961221307
2022-06-26 11:31:37,"2524","T",2022-06-26,17513.986353782,602.440472480632
2022-06-27 12:32:55,"2524","T",2022-06-27,15199.6264159643,247.668055198104
