"ID_spec","Treatment","Temp","Atrazine","mean_ar","sd_ar","mean_area","sd_area","mean_speed","sd_speed","mean_linearity","sd_linearity","Parts_permL","pcgr","Time_Days","N10","r1","a11"
"Spiro_C","1","20","0",5.7775,2.26745401877805,2643.03166666667,1064.72588864103,41.2775,11.1458448229904,0.593124390517877,0.351807601596121,12.7469879518072,1.77063244151481,3,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",6.83333333333333,2.92081576034545,2343.38722222222,1083.43273624273,46.1444444444444,9.84142578277703,0.385658369164433,0.40290777686967,16.433734939759,0.243430582759777,4.1,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",5.48555555555556,2.10722628456915,2694.36,676.133744862048,44.9922222222222,15.3790585482358,0.819171303379514,0.259222858692026,18.0120481927711,0.0903782627322074,5.1,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",4.94576923076923,0.630689610359474,2294.67384615385,541.443560102635,29.6288461538462,11.6640841310145,0.61025039703682,0.301862921708426,29.3855421686747,0.530861492748459,7.1,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",4.02028571428571,0.851774914048119,3181.35685714286,678.168624223363,33.2588571428571,14.3977170926155,0.605576478476404,0.301282515092559,40.3012048192771,0.324212794444335,8.1,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",5.57478260869565,3.14078457227945,1824.71130434783,612.515091977727,26.3017391304348,10.6977013739397,0.397051240462153,0.234346340781326,42.9156626506024,0.0656605018464835,9,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",4.869,1.02685429520928,2173.81425,576.127590911666,32.31975,13.3055830748426,0.633842082133204,0.316810345353981,42.1325301204819,-0.018643731479711,10,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",4.42627118644068,2.13183658743694,2412.10305084746,541.442266146486,23.025593220339,7.52876146593766,0.402051536691574,0.253992185768629,66.855421686747,0.458138369776078,11,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",4.94561403508772,1.20599694613428,2136.16824561404,822.858416351898,35.5652631578947,13.6793794378441,0.679294769036509,0.303888896003344,58.5903614457831,-0.129324811974215,12,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",4.88,0.820583125994355,2449.48098360656,630.455122113395,35.1331147540984,18.5171510174562,0.740934549527245,0.258859291696903,67.8915662650602,0.15601259379465,13,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",5.19068965517241,0.794054642111726,2179.32942528736,448.07099912993,32.0775862068966,10.8117599588679,0.67363227749698,0.288749444665346,93.5783132530121,0.308366587446218,14,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
"Spiro_C","1","20","0",6.09188235294118,0.86284205655834,2307.63764705882,472.866798710767,39.6697647058824,13.6451636274604,0.820514614174826,0.216087238168367,93.5903614457831,0.000123947204773365,15.1,24.6225452956815,0.0645912882504731,-8.43259623164061e-10
